Wavelength_[A] Transmission_[%]
1.402773380279541016e+00 8.561504364013671875e+01
1.404209852218627930e+00 8.470346832275390625e+01
1.405646204948425293e+00 8.439969635009765625e+01
1.407082676887512207e+00 8.427786254882812500e+01
1.408519148826599121e+00 8.473704528808593750e+01
1.409955620765686035e+00 8.579461669921875000e+01
1.411392092704772949e+00 8.692548370361328125e+01
1.412828445434570312e+00 8.776480865478515625e+01
1.414264798164367676e+00 8.786547851562500000e+01
1.415701389312744141e+00 8.765944671630859375e+01
1.417137742042541504e+00 8.758015441894531250e+01
1.418574333190917969e+00 8.697997283935546875e+01
1.420010685920715332e+00 8.650265502929687500e+01
1.421447038650512695e+00 8.608064270019531250e+01
1.422883629798889160e+00 8.595986175537109375e+01
1.424319982528686523e+00 8.600601959228515625e+01
1.425756454467773438e+00 8.616821289062500000e+01
1.427192807197570801e+00 8.671131134033203125e+01
1.428629159927368164e+00 8.704735565185546875e+01
1.430065751075744629e+00 8.735459899902343750e+01
1.431502223014831543e+00 8.760981750488281250e+01
1.432938694953918457e+00 8.784951782226562500e+01
1.434375047683715820e+00 8.799137115478515625e+01
1.435811519622802734e+00 8.799587249755859375e+01
1.437247991561889648e+00 8.813925933837890625e+01
1.438684344291687012e+00 8.823785400390625000e+01
1.440120816230773926e+00 8.850319671630859375e+01
1.441557168960571289e+00 8.849569702148437500e+01
1.442993640899658203e+00 8.831568908691406250e+01
1.444430232048034668e+00 8.835638427734375000e+01
1.445866584777832031e+00 8.839646148681640625e+01
1.447303056716918945e+00 8.838352203369140625e+01
1.448739409446716309e+00 8.821636962890625000e+01
1.450175881385803223e+00 8.805894470214843750e+01
1.451612353324890137e+00 8.792848205566406250e+01
1.453048706054687500e+00 8.793869781494140625e+01
1.454485058784484863e+00 8.816156768798828125e+01
1.455921769142150879e+00 8.824028015136718750e+01
1.457358121871948242e+00 8.799268341064453125e+01
1.458794593811035156e+00 8.727724456787109375e+01
1.460230946540832520e+00 8.643923950195312500e+01
1.461667418479919434e+00 8.573119354248046875e+01
1.463103890419006348e+00 8.611711120605468750e+01
1.464540243148803711e+00 8.693921661376953125e+01
1.465976715087890625e+00 8.805067443847656250e+01
1.467413067817687988e+00 8.871934509277343750e+01
1.468849658966064453e+00 8.920280456542968750e+01
1.470286130905151367e+00 8.957775115966796875e+01
1.471722483634948730e+00 8.952420806884765625e+01
1.473158955574035645e+00 8.955634307861328125e+01
1.474595308303833008e+00 8.949414825439453125e+01
1.476031899452209473e+00 8.950067901611328125e+01
1.477468252182006836e+00 8.971321105957031250e+01
1.478904604911804199e+00 8.972411346435546875e+01
1.480341196060180664e+00 8.967919921875000000e+01
1.481777548789978027e+00 8.963148498535156250e+01
1.483214139938354492e+00 8.969612884521484375e+01
1.484650492668151855e+00 8.979480743408203125e+01
1.486086845397949219e+00 8.992780303955078125e+01
1.487523317337036133e+00 8.991802215576171875e+01
1.488959670066833496e+00 8.980836486816406250e+01
1.490396261215209961e+00 8.954405212402343750e+01
1.491832613945007324e+00 8.962065124511718750e+01
1.493269085884094238e+00 8.972435760498046875e+01
1.494705557823181152e+00 8.963599395751953125e+01
1.496142029762268066e+00 8.970426177978515625e+01
1.497578501701354980e+00 8.963555908203125000e+01
1.499014854431152344e+00 8.969774627685546875e+01
1.500451207160949707e+00 8.968044281005859375e+01
1.501887679100036621e+00 8.967404937744140625e+01
1.503324151039123535e+00 8.979191589355468750e+01
1.504760622978210449e+00 8.995935821533203125e+01
1.506197094917297363e+00 9.002780151367187500e+01
1.507633447647094727e+00 9.018690490722656250e+01
1.509069919586181641e+00 9.011054229736328125e+01
1.510506391525268555e+00 8.980631256103515625e+01
1.511942863464355469e+00 8.964805603027343750e+01
1.513379216194152832e+00 8.920052337646484375e+01
1.514815568923950195e+00 8.881568145751953125e+01
1.516252160072326660e+00 8.900286102294921875e+01
1.517688632011413574e+00 8.933554840087890625e+01
1.519125103950500488e+00 8.973406219482421875e+01
1.520561456680297852e+00 8.978704833984375000e+01
1.521997809410095215e+00 8.982252502441406250e+01
1.523434400558471680e+00 8.981475830078125000e+01
1.524870753288269043e+00 8.964657592773437500e+01
1.526307225227355957e+00 8.946146392822265625e+01
1.527743577957153320e+00 8.927159881591796875e+01
1.529179930686950684e+00 8.905577087402343750e+01
1.530616641044616699e+00 8.882221221923828125e+01
1.532052993774414062e+00 8.854077148437500000e+01
1.533489465713500977e+00 8.805825805664062500e+01
1.534925818443298340e+00 8.780644989013671875e+01
1.536362290382385254e+00 8.802474212646484375e+01
1.537798762321472168e+00 8.809245300292968750e+01
1.539235115051269531e+00 8.813909912109375000e+01
1.540671586990356445e+00 8.804171752929687500e+01
1.542108058929443359e+00 8.783359527587890625e+01
1.543544530868530273e+00 8.783300018310546875e+01
1.544981002807617188e+00 8.750002288818359375e+01
1.546417355537414551e+00 8.725240325927734375e+01
1.547853827476501465e+00 8.690222167968750000e+01
1.549290299415588379e+00 8.632426452636718750e+01
1.550726652145385742e+00 8.603548431396484375e+01
1.552163124084472656e+00 8.588852691650390625e+01
1.553599476814270020e+00 8.563719940185546875e+01
1.555036067962646484e+00 8.569735717773437500e+01
1.556472539901733398e+00 8.562995910644531250e+01
1.557908892631530762e+00 8.574799346923828125e+01
1.559345364570617676e+00 8.581532287597656250e+01
1.560781717300415039e+00 8.607869720458984375e+01
1.562218189239501953e+00 8.630644226074218750e+01
1.563654661178588867e+00 8.669332885742187500e+01
