Wavelength_[A] Transmission_[%]
1.402773380279541016e+00 4.521856307983398438e+01
1.404209852218627930e+00 4.554676818847656250e+01
1.405646204948425293e+00 4.571721267700195312e+01
1.407082676887512207e+00 4.603834915161132812e+01
1.408519148826599121e+00 4.648204803466796875e+01
1.409955620765686035e+00 4.745743179321289062e+01
1.411392092704772949e+00 4.850264358520507812e+01
1.412828445434570312e+00 4.948865127563476562e+01
1.414264798164367676e+00 5.025680160522460938e+01
1.415701389312744141e+00 5.054670333862304688e+01
1.417137742042541504e+00 5.050071716308593750e+01
1.418574333190917969e+00 5.029453659057617188e+01
1.420010685920715332e+00 4.996987152099609375e+01
1.421447038650512695e+00 4.934458541870117188e+01
1.422883629798889160e+00 4.867208480834960938e+01
1.424319982528686523e+00 4.710784149169921875e+01
1.425756454467773438e+00 4.727895736694335938e+01
1.427192807197570801e+00 4.736910629272460938e+01
1.428629159927368164e+00 4.699871826171875000e+01
1.430065751075744629e+00 4.610123825073242188e+01
1.431502223014831543e+00 4.457792282104492188e+01
1.432938694953918457e+00 4.399799728393554688e+01
1.434375047683715820e+00 4.372856140136718750e+01
1.435811519622802734e+00 4.361941146850585938e+01
1.437247991561889648e+00 4.449954223632812500e+01
1.438684344291687012e+00 4.485410690307617188e+01
1.440120816230773926e+00 4.512165451049804688e+01
1.441557168960571289e+00 4.479553985595703125e+01
1.442993640899658203e+00 4.358434295654296875e+01
1.444430232048034668e+00 4.270307540893554688e+01
1.445866584777832031e+00 4.234862518310546875e+01
1.447303056716918945e+00 4.212269592285156250e+01
1.448739409446716309e+00 4.208901596069335938e+01
1.450175881385803223e+00 4.231116104125976562e+01
1.451612353324890137e+00 4.276543426513671875e+01
1.453048706054687500e+00 4.372085189819335938e+01
1.454485058784484863e+00 4.408652114868164062e+01
1.455921769142150879e+00 4.463146972656250000e+01
1.457358121871948242e+00 4.433681106567382812e+01
1.458794593811035156e+00 4.395782089233398438e+01
1.460230946540832520e+00 4.368171310424804688e+01
1.461667418479919434e+00 4.351255035400390625e+01
1.463103890419006348e+00 4.483087921142578125e+01
1.464540243148803711e+00 4.607819747924804688e+01
1.465976715087890625e+00 4.706026840209960938e+01
1.467413067817687988e+00 4.779062271118164062e+01
1.468849658966064453e+00 4.833684158325195312e+01
1.470286130905151367e+00 4.821240615844726562e+01
1.471722483634948730e+00 4.834925079345703125e+01
1.473158955574035645e+00 4.813450622558593750e+01
1.474595308303833008e+00 4.761696624755859375e+01
1.476031899452209473e+00 4.822745513916015625e+01
1.477468252182006836e+00 4.841328430175781250e+01
1.478904604911804199e+00 4.888753128051757812e+01
1.480341196060180664e+00 4.957058715820312500e+01
1.481777548789978027e+00 5.001465988159179688e+01
1.483214139938354492e+00 4.989316177368164062e+01
1.484650492668151855e+00 5.023835372924804688e+01
1.486086845397949219e+00 5.028649902343750000e+01
1.487523317337036133e+00 4.924221801757812500e+01
1.488959670066833496e+00 4.768632125854492188e+01
1.490396261215209961e+00 4.586493301391601562e+01
1.491832613945007324e+00 4.570805740356445312e+01
1.493269085884094238e+00 4.677064132690429688e+01
1.494705557823181152e+00 4.685987091064453125e+01
1.496142029762268066e+00 4.653043746948242188e+01
1.497578501701354980e+00 4.602698516845703125e+01
1.499014854431152344e+00 4.674701690673828125e+01
1.500451207160949707e+00 4.751128768920898438e+01
1.501887679100036621e+00 4.782416915893554688e+01
1.503324151039123535e+00 4.827196502685546875e+01
1.504760622978210449e+00 4.904600143432617188e+01
1.506197094917297363e+00 4.932376861572265625e+01
1.507633447647094727e+00 4.950789260864257812e+01
1.509069919586181641e+00 5.017382049560546875e+01
1.510506391525268555e+00 4.940232086181640625e+01
1.511942863464355469e+00 4.872488784790039062e+01
1.513379216194152832e+00 4.730737686157226562e+01
1.514815568923950195e+00 4.604587173461914062e+01
1.516252160072326660e+00 4.575471878051757812e+01
1.517688632011413574e+00 4.597741317749023438e+01
1.519125103950500488e+00 4.597804641723632812e+01
1.520561456680297852e+00 4.704776382446289062e+01
1.521997809410095215e+00 4.669929122924804688e+01
