Wavelength_[A] Transmission_[%]
1.402773380279541016e+00 4.385941696166992188e+01
1.404209852218627930e+00 4.107909393310546875e+01
1.405646204948425293e+00 3.938018035888671875e+01
1.407082676887512207e+00 3.999900436401367188e+01
1.408519148826599121e+00 4.295505142211914062e+01
1.409955620765686035e+00 4.749926376342773438e+01
1.411392092704772949e+00 5.034724426269531250e+01
1.412828445434570312e+00 5.244340896606445312e+01
1.414264798164367676e+00 5.315018844604492188e+01
1.415701389312744141e+00 5.350138092041015625e+01
1.417137742042541504e+00 5.306986236572265625e+01
1.418574333190917969e+00 5.213029479980468750e+01
1.420010685920715332e+00 5.006446075439453125e+01
1.421447038650512695e+00 4.818347549438476562e+01
1.422883629798889160e+00 4.621060562133789062e+01
1.424319982528686523e+00 4.485312271118164062e+01
1.425756454467773438e+00 4.446760559082031250e+01
1.427192807197570801e+00 4.539990997314453125e+01
1.428629159927368164e+00 4.745349502563476562e+01
1.430065751075744629e+00 4.993535232543945312e+01
1.431502223014831543e+00 5.181849670410156250e+01
1.432938694953918457e+00 5.328141403198242188e+01
1.434375047683715820e+00 5.423053741455078125e+01
1.435811519622802734e+00 5.466244506835937500e+01
1.437247991561889648e+00 5.517051696777343750e+01
1.438684344291687012e+00 5.541472625732421875e+01
1.440120816230773926e+00 5.558604812622070312e+01
1.441557168960571289e+00 5.535834121704101562e+01
1.442993640899658203e+00 5.547316741943359375e+01
1.444430232048034668e+00 5.534477996826171875e+01
1.445866584777832031e+00 5.506994628906250000e+01
1.447303056716918945e+00 5.369294357299804688e+01
1.448739409446716309e+00 5.129469680786132812e+01
1.450175881385803223e+00 4.876126861572265625e+01
1.451612353324890137e+00 4.786342239379882812e+01
1.453048706054687500e+00 4.843699264526367188e+01
1.454485058784484863e+00 5.023930358886718750e+01
1.455921769142150879e+00 5.040380859375000000e+01
1.457358121871948242e+00 4.943685150146484375e+01
1.458794593811035156e+00 4.801765060424804688e+01
1.460230946540832520e+00 4.782386398315429688e+01
1.461667418479919434e+00 4.936199188232421875e+01
1.463103890419006348e+00 5.179368209838867188e+01
1.464540243148803711e+00 5.347151565551757812e+01
1.465976715087890625e+00 5.507855987548828125e+01
1.467413067817687988e+00 5.565706634521484375e+01
1.468849658966064453e+00 5.647393417358398438e+01
1.470286130905151367e+00 5.720295333862304688e+01
1.471722483634948730e+00 5.708063507080078125e+01
1.473158955574035645e+00 5.745976257324218750e+01
1.474595308303833008e+00 5.735197067260742188e+01
1.476031899452209473e+00 5.760963439941406250e+01
1.477468252182006836e+00 5.724243545532226562e+01
1.478904604911804199e+00 5.738654708862304688e+01
1.480341196060180664e+00 5.717592239379882812e+01
1.481777548789978027e+00 5.681104278564453125e+01
1.483214139938354492e+00 5.682815170288085938e+01
1.484650492668151855e+00 5.702391815185546875e+01
1.486086845397949219e+00 5.731381607055664062e+01
1.487523317337036133e+00 5.761283111572265625e+01
1.488959670066833496e+00 5.737438583374023438e+01
1.490396261215209961e+00 5.754840087890625000e+01
1.491832613945007324e+00 5.783215713500976562e+01
1.493269085884094238e+00 5.716413497924804688e+01
1.494705557823181152e+00 5.692883300781250000e+01
1.496142029762268066e+00 5.730214691162109375e+01
1.497578501701354980e+00 5.666572189331054688e+01
1.499014854431152344e+00 5.728159713745117188e+01
1.500451207160949707e+00 5.718011474609375000e+01
1.501887679100036621e+00 5.749974441528320312e+01
1.503324151039123535e+00 5.777705001831054688e+01
1.504760622978210449e+00 5.775634765625000000e+01
1.506197094917297363e+00 5.769012451171875000e+01
1.507633447647094727e+00 5.774793624877929688e+01
1.509069919586181641e+00 5.773159027099609375e+01
1.510506391525268555e+00 5.733047485351562500e+01
1.511942863464355469e+00 5.586419677734375000e+01
1.513379216194152832e+00 5.254841232299804688e+01
1.514815568923950195e+00 4.928864288330078125e+01
1.516252160072326660e+00 4.991103744506835938e+01
1.517688632011413574e+00 5.252898788452148438e+01
1.519125103950500488e+00 5.473546600341796875e+01
1.520561456680297852e+00 5.616131973266601562e+01
1.521997809410095215e+00 5.671567535400390625e+01
1.523434400558471680e+00 5.700657653808593750e+01
1.524870753288269043e+00 5.630467224121093750e+01
1.526307225227355957e+00 5.596864318847656250e+01
1.527743577957153320e+00 5.531872558593750000e+01
1.529179930686950684e+00 5.414826583862304688e+01
1.530616641044616699e+00 5.290694046020507812e+01
1.532052993774414062e+00 5.151345062255859375e+01
1.533489465713500977e+00 4.928038787841796875e+01
1.534925818443298340e+00 4.898669815063476562e+01
1.536362290382385254e+00 4.813595962524414062e+01
1.537798762321472168e+00 4.780859756469726562e+01
1.539235115051269531e+00 4.765891265869140625e+01
1.540671586990356445e+00 4.798656082153320312e+01
1.542108058929443359e+00 4.889643859863281250e+01
1.543544530868530273e+00 5.010993576049804688e+01
1.544981002807617188e+00 5.096474456787109375e+01
1.546417355537414551e+00 5.185264205932617188e+01
1.547853827476501465e+00 5.246965408325195312e+01
1.549290299415588379e+00 5.218014907836914062e+01
1.550726652145385742e+00 5.199590301513671875e+01
1.552163124084472656e+00 5.103815841674804688e+01
1.553599476814270020e+00 4.979309082031250000e+01
1.555036067962646484e+00 4.826514434814453125e+01
1.556472539901733398e+00 4.653863906860351562e+01
1.557908892631530762e+00 4.496766281127929688e+01
1.559345364570617676e+00 4.377561950683593750e+01
1.560781717300415039e+00 4.282862472534179688e+01
1.562218189239501953e+00 4.295827484130859375e+01
1.563654661178588867e+00 4.327294921875000000e+01
1.565091013908386230e+00 4.413545989990234375e+01
1.566527485847473145e+00 4.524591827392578125e+01
1.567963957786560059e+00 4.668775558471679688e+01
1.569400548934936523e+00 4.777690124511718750e+01
1.570836901664733887e+00 4.941687011718750000e+01
1.572273254394531250e+00 5.013570785522460938e+01
1.573709726333618164e+00 5.115781784057617188e+01
1.575146079063415527e+00 5.163378524780273438e+01
1.576582670211791992e+00 5.278820800781250000e+01
1.578019022941589355e+00 5.308856201171875000e+01
1.579455494880676270e+00 5.285808944702148438e+01
1.580891966819763184e+00 5.145575332641601562e+01
1.582328319549560547e+00 4.662807846069335938e+01
1.583764910697937012e+00 4.128867721557617188e+01
1.585201263427734375e+00 4.043972778320312500e+01
1.586637616157531738e+00 4.112721252441406250e+01
1.588074088096618652e+00 4.094112014770507812e+01
1.589510560035705566e+00 4.084314346313476562e+01
1.590947031974792480e+00 4.127381896972656250e+01
1.592383503913879395e+00 4.267300415039062500e+01
1.593819856643676758e+00 4.413160705566406250e+01
1.595256328582763672e+00 4.474932861328125000e+01
1.596692800521850586e+00 4.438343048095703125e+01
1.598129272460937500e+00 4.359107589721679688e+01
1.599565625190734863e+00 4.305558013916015625e+01
1.601001977920532227e+00 4.301096343994140625e+01
1.602438449859619141e+00 4.403789520263671875e+01
1.603875041007995605e+00 4.545428085327148438e+01
1.605311512947082520e+00 4.789891815185546875e+01
1.606747865676879883e+00 4.979070663452148438e+01
1.608184218406677246e+00 5.170020294189453125e+01
1.609620809555053711e+00 5.241522216796875000e+01
1.611057162284851074e+00 5.281209182739257812e+01
1.612493634223937988e+00 5.247289657592773438e+01
1.613929986953735352e+00 5.248126983642578125e+01
1.615366339683532715e+00 5.310301971435546875e+01
1.616803050041198730e+00 5.399428176879882812e+01
1.618239402770996094e+00 5.453126144409179688e+01
1.619675874710083008e+00 5.505509185791015625e+01
1.621112227439880371e+00 5.494457626342773438e+01
1.622548580169677734e+00 5.478838348388671875e+01
1.623985171318054199e+00 5.476507186889648438e+01
1.625421524047851562e+00 5.520028686523437500e+01
1.626857995986938477e+00 5.555982208251953125e+01
1.628294348716735840e+00 5.549655151367187500e+01
1.629730939865112305e+00 5.559970474243164062e+01
1.631167411804199219e+00 5.573078918457031250e+01
1.632603764533996582e+00 5.456542205810546875e+01
1.634040236473083496e+00 5.469976806640625000e+01
1.635476589202880859e+00 5.428913497924804688e+01
1.636913061141967773e+00 5.437853240966796875e+01
1.638349533081054688e+00 5.447485733032226562e+01
1.639785885810852051e+00 5.362647247314453125e+01
1.641222476959228516e+00 5.335411071777343750e+01
1.642658829689025879e+00 5.278160476684570312e+01
1.644095301628112793e+00 5.224310684204101562e+01
1.645531773567199707e+00 5.192411422729492188e+01
1.646968126296997070e+00 5.122851943969726562e+01
1.648404598236083984e+00 5.060556030273437500e+01
1.649841070175170898e+00 5.001464080810546875e+01
1.651277422904968262e+00 4.930788040161132812e+01
1.652713894844055176e+00 4.787661361694335938e+01
1.654150366783142090e+00 4.735691452026367188e+01
1.655586838722229004e+00 4.680440521240234375e+01
1.657023310661315918e+00 4.600389862060546875e+01
1.658459663391113281e+00 4.473158645629882812e+01
1.659896135330200195e+00 4.390873718261718750e+01
1.661332488059997559e+00 4.281855010986328125e+01
1.662768959999084473e+00 4.229801940917968750e+01
1.664205431938171387e+00 4.189854431152343750e+01
1.665641903877258301e+00 4.215151977539062500e+01
1.667078375816345215e+00 4.219081497192382812e+01
1.668514728546142578e+00 4.222734451293945312e+01
1.669951319694519043e+00 4.287440490722656250e+01
1.671387672424316406e+00 4.344140625000000000e+01
1.672824025154113770e+00 4.380016326904296875e+01
1.674260497093200684e+00 4.456215667724609375e+01
1.675696849822998047e+00 4.526339340209960938e+01
1.677133440971374512e+00 4.481085586547851562e+01
1.678569912910461426e+00 4.385192489624023438e+01
1.680006265640258789e+00 4.283980178833007812e+01
1.681442737579345703e+00 4.077380752563476562e+01
1.682879090309143066e+00 3.902750396728515625e+01
1.684315681457519531e+00 3.768119049072265625e+01
1.685752034187316895e+00 3.683135223388671875e+01
1.687188386917114258e+00 3.617526245117187500e+01
1.688624858856201172e+00 3.577497863769531250e+01
1.690061330795288086e+00 3.429937744140625000e+01
1.691497921943664551e+00 3.235886764526367188e+01
1.692934274673461914e+00 3.166030693054199219e+01
1.694370627403259277e+00 3.285000228881835938e+01
1.695807099342346191e+00 3.523851394653320312e+01
1.697243571281433105e+00 3.716482162475585938e+01
1.698680043220520020e+00 3.957455062866210938e+01
1.700116395950317383e+00 4.164708328247070312e+01
1.701552748680114746e+00 4.358621978759765625e+01
1.702989339828491211e+00 4.527139282226562500e+01
1.704425811767578125e+00 4.725006484985351562e+01
1.705862283706665039e+00 4.889062500000000000e+01
1.707298636436462402e+00 4.970941543579101562e+01
1.708734989166259766e+00 5.099414825439453125e+01
1.710171580314636230e+00 5.171666336059570312e+01
1.711607933044433594e+00 5.224500656127929688e+01
1.713044404983520508e+00 5.302775955200195312e+01
1.714480757713317871e+00 5.359977340698242188e+01
1.715917229652404785e+00 5.373868179321289062e+01
1.717353820800781250e+00 5.422287750244140625e+01
1.718790173530578613e+00 5.415547943115234375e+01
1.720226645469665527e+00 5.474634933471679688e+01
1.721662998199462891e+00 5.513366317749023438e+01
1.723099350929260254e+00 5.499773025512695312e+01
1.724535942077636719e+00 5.480392837524414062e+01
1.725972294807434082e+00 5.395920944213867188e+01
1.727408885955810547e+00 5.352485275268554688e+01
1.728845238685607910e+00 5.385229492187500000e+01
1.730281829833984375e+00 5.493894577026367188e+01
1.731718182563781738e+00 5.537877273559570312e+01
1.733154535293579102e+00 5.566290664672851562e+01
1.734591007232666016e+00 5.559291839599609375e+01
1.736027359962463379e+00 5.586730194091796875e+01
1.737463831901550293e+00 5.636470031738281250e+01
1.738900303840637207e+00 5.567975616455078125e+01
1.740336775779724121e+00 5.540313339233398438e+01
1.741773247718811035e+00 5.515362930297851562e+01
1.743209600448608398e+00 5.494657516479492188e+01
1.744646072387695312e+00 5.544181442260742188e+01
1.746082544326782227e+00 5.560431671142578125e+01
1.747518897056579590e+00 5.583580398559570312e+01
1.748955368995666504e+00 5.567713928222656250e+01
